id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
123943,article,ogaard:2016,,,2016,,Paths to Triviality,Paths to Triviality,,,,journal-of-philosophical-logic,45,3,237--276,,,,,,,,,,,,,,,,,,,,false,,ogaard,,,1:logic;2:paraconsistent_logic
123944,incollection,ogaki_m:1995,,,1995,,Commentary [on \citet{pagan_a:1995}],Commentary [on Pagan (1995)],,,,,,,99--105,,,,,,,,,,,,,,,,,,,,false,,ogaki_m,,,1:economics
123945,UNKNOWN,ogarek_j:1931,,,1931,,Die Sinneserkenntnis Albert d.~Gr.~verglichen mit derjenigen d.~Thomas v.~Aquin,Die Sinneserkenntnis Albert d. Gr. verglichen mit derjenigen d. Thomas v. Aquin,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Th{\`e}se de doctorat,,,,,,,,,,,,ngerman,false,,ogarek_j,,,
123946,incollection,ogarkova-etal:2012,,,2012,,Naming Feeling: Exploring the Equivalence of Emotion Terms in Five European Languages,Naming Feeling: Exploring the Equivalence of Emotion Terms in Five European Languages,,,,,,,253--284,,,,,,,,,,,,,,,,,,,,false,,ogarkova;soriano;lehr_c,,,1:feeling;2:emotions;3:emotion_and_language
123947,incollection,ogata:2014,,,2014,,Towards Computational Non-associative Lambek Lambda-Calculi for Formal Pragmatics,Towards Computational Non-associative Lambek Lambda-Calculi for Formal Pragmatics,,,,,,,223--250,,,,,,,,,,,,,,,,,,,,false,,ogata,,,1:linguistics
123948,incollection,ogawa_h:1978,,,1978,,The Concept of Time in the Mithraic Mysteries,The Concept of Time in the Mithraic Mysteries,,,,,,,658--682,,,,,,,,,,,,,,,,,,,,false,,ogawa_h,,,1:time
123949,incollection,ogawa_k-ogawa:2016,,,2016,,"A Short Study of \emph{Jisei} (Swan Songs): Death, Cosmos and Its Transmigration","A Short Study of Jisei (Swan Songs): Death, Cosmos and Its Transmigration",,,,,,,321--334,,,,,,,,,,,,,,,,,,,,false,,ogawa_k;ogawa_t,,,1:aesthetics;2:literary_criticism
123950,incollection,ogawa_t:1983,,,1983,,"``Seeing'' and ``'Touching''', or, Overcoming the Soul-Body Dualism","“Seeing” and “'Touching”', or, Overcoming the Soul-Body Dualism",,,,,,,77--94,,,,,,,,,,,,,,,,,,,,false,,ogawa_t,,,1:mind_body;2:dualism
123951,incollection,ogawa_t:1991,,,1991,,"Husserl und die Vorstruktur des Bewusstseins -- Eine Rekonstruktive {\""U}berlegung von dem Strukturalen Gesichtspunkt",Husserl und die Vorstruktur des Bewusstseins – Eine Rekonstruktive Überlegung von dem Strukturalen Gesichtspunkt,,,,,,,151--161,,,,,,,,,,,,,,,,,,,ngerman,false,,ogawa_t,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_psychology
123952,incollection,ogawa_t:2011,,,2011,,A Short Study of Japanese \emph{RENGA}: The Trans-Subjective Creation of Poetic Atmosphere,A Short Study of Japanese RENGA: The Trans-Subjective Creation of Poetic Atmosphere,,,,,,,257--274,,,,,,,,,,,,,,,,,,,,false,,ogawa_t,,,1:aesthetics
123953,incollection,ogburn_wf:1949,,,1949,,Science and Society,Science and Society,,,,,,,197--233,,,,,,,,,,,,,,,,,,,,false,,ogburn_wf,,,1:science
123954,book,ogden_ck-richards:1923,,,1923,,The Meaning of Meaning,The Meaning of Meaning,,,,,,,,,,London,,,routledge-kegan-paul,,,,,,,,,,,,,,false,,ogden_ck;richards_ia,,,1:representation;2:meaning_theories;3:semiotics
123955,book,ogden_ck-richards:1966,,,1966,,The Meaning of Meaning,The Meaning of Meaning,,,,,,,,,,London,,,routledge-kegan-paul,,10,First edition: \citet{ogden_ck-richards:1923},First edition: Ogden and Richards (1923),,,,,,,,,,false,,ogden_ck;richards_ia,,,1:representation;2:meaning_theories;3:semiotics
123956,article,ogden_sm:1968,,,1968,,God and Philosophy.~A Discussion with Antony Flew [on \citet{flew_an:1966}],God and Philosophy. A Discussion with Antony Flew [on Flew (1966)],,,,the-journal-of-religion,48,2,161--181,,,,,,,,,,,,,,,,,,,,false,,ogden_sm,,,1:religion
123957,incollection,ogden_sm:2004,,,2004,,Toward Interpreting the Language of Spirit: The Legacy of Rudolf Bultmann,Toward Interpreting the Language of Spirit: The Legacy of Rudolf Bultmann,,,,,,,91--105,,,,,,,,,,,,,,,,,,,,false,,ogden_sm,,,1:religion
123958,book,ogden_sr:2016,,,2016,,The Metaphysics of Personal Identity,The Metaphysics of Personal Identity,The Metaphysics of Personal Identity,The Metaphysics of Personal Identity,,,,13,,,proceedings_of_the_society_for_medieval_logic_and_metaphysics,Newcastle upon Tye,,,cambridge-scholars-publishing,,,,,,,,,,,,,,false,,,ogden_sr,,1:persons;2:personal_identity
123959,incollection,ogden_sr:2016a,,,2016,,On a Possible Argument for Averroes's Single Separate Intellect,On a Possible Argument for Averroes's Single Separate Intellect,,,,,,,27--63,,,,,,,,,,,,,,,,,,,,false,,ogden_sr,,,
123960,UNKNOWN,oggier_m:2010,,,2010,,"Von der Selbstliebe zur Gl{\""u}ckseligkeit: die positive Selbstliebe bei Aristoteles als Vorbedingung f{\""u}r Freundschaft und ihre Relation zur G{\""u}ckseligkeit",Von der Selbstliebe zur Glückseligkeit: die positive Selbstliebe bei Aristoteles als Vorbedingung für Freundschaft und ihre Relation zur Gückseligkeit,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,ngerman,false,,oggier_m,,,
123961,incollection,oggionni:2018,,,2018,,"Widerlegt die ``Transscendentale Dialektik'' der \emph{Kritik der reinen Vernunft} den 1763 formulierten \emph{Einzig m{\""o}glichen Beweisgrund zu einer Demonstration des Daseins Gottes?}",Widerlegt die “Transscendentale Dialektik” der Kritik der reinen Vernunft den 1763 formulierten Einzig möglichen Beweisgrund zu einer Demonstration des Daseins Gottes?,,,,,,,2877--2884,,,,,,,,,,,,,,,,,,,ngerman,false,,oggionni,,,1:religion;2:arguments_for_the_existence_of_god
123962,incollection,ogien_a:2015,,,2015,,"Doubt, Ignorance and Trust: On the Unwarranted Fears raised by the Doubt-Mongers","Doubt, Ignorance and Trust: On the Unwarranted Fears raised by the Doubt-Mongers",,,,,,,192--198,,,,,,,,,,,,,,,,,,,,false,,ogien_a,,,1:epistemology;2:testimony
123963,book,ogien_r-paperman:1995,,,1995,,"La couleur des pens{\'e}es.~Sentiments, {\'e}motions, intentions","La couleur des pensées. Sentiments, émotions, intentions","La couleur des pens{\'e}es.~Sentiments, {\'e}motions, intentions","La couleur des pensées. Sentiments, émotions, intentions",,,,,,,,Paris,,,ecole-des-hautes-etudes-en-sciences-sociales,,,"Num{\'e}ro sp{\'e}cial de \emph{Raison pratiques}, vol.~4","Numéro spécial de Raison pratiques, vol. 4",,,,,,,,,french,false,,,ogien_r;paperman,,1:feeling
123964,book,ogien_r-tappolet:2009,,,2009,,Les concepts de l'{\'e}thique: faut-il {\^e}tre cons{\'e}quentialiste?,Les concepts de l'éthique: faut-il être conséquentialiste?,,,,,,,,,,Paris,,,editions-hermann,,2,,,,,,,,,,,french,false,,ogien_r;tappolet,,,1:ethics;2:metaethics;3:ethical_consequentialism
123965,article,ogien_r:1992,,,1992,,{\`A} la recherche des v{\'e}rit{\'e}s {\'e}thiques,À la recherche des vérités éthiques,,,,revue-internationale-de-philosophie,46,,458--486,,,,,,,,,,,,,,,,,,,french,false,,ogien_r,,,1:ethics
123966,book,ogien_r:1993,,,1993,,Un portrait logique et moral de la haine,Un portrait logique et moral de la haine,,,,,,,,,,Paris,,,editions-de-l-eclat,,,,,,,,,,,,,french,false,,ogien_r,,,1:feeling;2:hate
123967,book,ogien_r:1993a,,,1993,,La faiblesse de la volont{\'e},La faiblesse de la volonté,,,,,,,,,,Paris,,,presses-universitaires-de-france,,,,,,,,,,,,,french,false,,ogien_r,,,1:action;2:akrasia
123968,article,ogien_r:1994,,,1994,,L'objectivit{\'e} morale,L'objectivité morale,,,,critique,50,567/568,625--642,,,,,,,,,,,,,,,,,,,french,false,,ogien_r,,,1:ethics;2:metaethics;3:moral_realism
123969,book,ogien_r:1995,,,1995,,Les causes et les raisons.~Philosophie analytique et sciences humaines,Les causes et les raisons. Philosophie analytique et sciences humaines,,,,,,,,,,N{\^{\i}}mes,,,editions-jacqueline-chambon,,,,,,,,,,,,,french,false,,ogien_r,,,1:action;2:reasons_for_action;3:reasons_vs_causes
123970,incollection,ogien_r:1995a,,,1995,,La haine,La haine,,,,,,,,,,,,,,,,,,,,,,,,,,french,false,,ogien_r,,,1:feeling;2:hate
123971,book,ogien_r:1999,,,1999,,Le r{\'e}alisme moral,Le réalisme moral,Le r{\'e}alisme moral,Le réalisme moral,,,,,,,,Paris,,,presses-universitaires-de-france,,,,,,,,,,,,,french,false,,,ogien_r,,1:ethics;2:metaethics;3:moral_realism
123972,incollection,ogien_r:1999a,,,1999,,Qu'est-ce que le r{\'e}alisme moral?,Qu'est-ce que le réalisme moral?,,,,,,,,,,,,,,,,Traduit par S.~Kronlund,Traduit par S. Kronlund,,,,,,,,,french,false,,ogien_r,,,1:ethics;2:metaethics;3:moral_realism
123973,article,ogien_r:2000,,,2000,,Le rasoir de Kant,Le rasoir de Kant,,,,philosophiques,28,1,,,,,,,,,,,,,,,,,,,,french,false,,ogien_r,,,1:political_philosophy
123974,incollection,ogien_r:2000a,,,2000,,{\'E}thique et philosophie morale,Éthique et philosophie morale,,,,,,,213--240,,,,,,,,,,,,,,,,,,,french,false,,ogien_r,,,1:ethics
123975,book,ogien_r:2003,,,2003,,Penser la pornographie,Penser la pornographie,,,,,,,,,,Paris,,,presses-universitaires-de-france,,,,,,,,,,,,,french,false,,ogien_r,,,1:aesthetics;2:pornography
